iter	Passed	Remaining
168	24566	120795
169	24725	120716
170	24872	120582
171	25019	120442
172	25167	120309
173	25323	120213
174	25469	120071
175	25617	119934
176	25763	119791
177	25919	119697
178	26057	119515
179	26222	119457
180	26370	119323
181	26513	119166
182	26654	119000
183	26794	118827
184	26935	118660
185	27080	118513
186	27231	118393
187	27366	118200
188	27519	118085
189	27666	117946
190	27816	117817
191	27959	117660
192	28099	117493
193	28245	117348
194	28381	117164
195	28524	117008
196	28659	116818
197	28803	116666
198	28940	116489
199	29097	116391
200	29234	116212
201	29381	116073
202	29522	115910
203	29660	115735
204	29799	115564
205	29939	115398
206	30086	115257
207	30223	115083
208	30366	114926
209	30505	114759
210	30644	114590
211	30791	114450
212	30934	114298
213	31074	114134
214	31225	114009
215	31360	113826
216	31513	113708
217	31649	113531
218	31798	113400
219	31936	113229
220	32089	113110
221	32226	112938
222	32366	112774
223	32510	112625
224	32663	112506
225	32808	112362
226	32941	112175
227	33095	112061
228	33229	111875
229	33384	111766
230	33531	111628
231	33690	111528
232	33838	111390
233	33988	111259
234	34150	111171
235	34295	111023
236	34445	110894
237	34584	110729
238	34729	110582
239	34866	110411
240	35017	110282
241	35157	110122
242	35298	109962
243	35439	109804
244	35586	109664
245	35736	109533
246	35874	109367
247	36018	109218
248	36154	109045
249	36300	108900
250	36434	108722
251	36585	108595
252	36721	108422
253	36867	108278
254	36999	108097
255	37147	107958
256	37285	107793
257	37428	107642
258	37569	107485
259	37709	107327
260	37862	107203
261	38014	107078
262	38162	106941
263	38299	106775
264	38443	106627
265	38581	106462
266	38725	106313
267	38882	106202
268	39028	106058
269	39174	105916
270	39319	105771
271	39455	105602
272	39598	105449
273	39736	105287
274	39884	105149
275	40028	105002
276	40173	104856
277	40320	104716
278	40461	104561
279	40605	104414
280	40752	104274
281	40891	104114
282	41032	103959
283	41168	103790
284	41307	103631
285	41462	103510
286	41607	103365
287	41748	103212
288	41898	103080
289	42041	102927
290	42189	102791
291	42334	102647
292	42481	102507
293	42621	102348
294	42772	102217
295	42912	102062
296	43053	101908
297	43216	101806
298	43366	101672
299	43522	101552
300	43674	101423
301	43831	101306
302	43977	101163
303	44121	101015
304	44269	100876
305	44404	100709
306	44544	100552
307	44696	100421
308	44845	100285
309	44994	100148
310	45144	100015
311	45281	99852
312	45422	99696
313	45564	99546
314	45707	99395
315	45856	99258
316	46001	99112
317	46148	98972
318	46288	98815
319	46435	98675
320	46580	98530
321	46717	98367
322	46865	98228
323	47001	98065
324	47148	97923
325	47290	97772
326	47436	97629
327	47575	97471
328	47716	97318
329	47852	97154
330	47999	97013
331	48137	96854
332	48293	96731
333	48435	96580
334	48583	96441
335	48726	96293
336	48867	96140
337	49009	95988
338	49148	95833
339	49297	95695
340	49444	95554
341	49593	95417
342	49739	95273
343	49897	95152
344	50038	95001
345	50191	94870
346	50337	94726
347	50480	94579
348	50620	94424
349	50770	94287
350	50913	94139
351	51060	93998
352	51203	93848
353	51347	93702
354	51489	93551
355	51628	93395
356	51783	93268
357	51917	93103
358	52063	92960
359	52201	92802
360	52350	92664
361	52481	92494
362	52634	92363
363	52768	92199
364	52911	92051
365	53052	91899
366	53201	91761
367	53344	91613
368	53485	91461
369	53631	91317
370	53767	91157
371	53917	91022
372	54052	90861
373	54204	90726
374	54342	90570
375	54489	90429
376	54622	90264
377	54760	90109
378	54901	89957
379	55039	89801
380	55180	89649
381	55318	89494
382	55472	89364
383	55611	89209
384	55755	89063
385	55895	88912
386	56041	88767
387	56176	88608
388	56326	88471
389	56460	88309
390	56615	88181
391	56750	88021
392	56894	87874
393	57032	87719
394	57179	87578
395	57324	87434
396	57460	87276
397	57609	87138
398	57748	86984
399	57901	86852
400	58046	86708
401	58200	86577
402	58339	86422
403	58492	86291
404	58634	86141
405	58793	86018
406	58942	85879
407	59075	85717
408	59225	85579
409	59365	85428
410	59509	85282
411	59643	85122
412	59788	84978
413	59924	84821
414	60075	84685
415	60212	84529
416	60364	84394
417	60505	84244
418	60653	84104
419	60795	83955
420	60937	83807
421	61078	83657
422	61223	83513
423	61363	83361
424	61504	83212
425	61647	83064
426	61784	82909
427	61923	82757
428	62062	82605
429	62223	82482
430	62360	82327
431	62504	82182
432	62645	82032
433	62790	81888
434	62931	81739
435	63070	81586
436	63217	81445
437	63352	81287
438	63498	81144
439	63636	80991
440	63778	80844
441	63912	80686
442	64058	80542
443	64202	80397
444	64352	80259
445	64489	80106
446	64631	79958
447	64777	79815
448	64913	79660
449	65055	79512
450	65195	79361
451	65337	79214
452	65476	79063
453	65626	78925
454	65772	78782
455	65941	78666
456	66086	78522
457	66235	78383
458	66377	78235
459	66526	78095
460	66667	77946
461	66822	77814
462	66960	77662
463	67109	77523
464	67255	77380
465	67396	77231
466	67534	77079
467	67673	76928
468	67814	76779
469	67953	76628
470	68092	76477
471	68234	76329
472	68371	76177
473	68512	76029
474	68647	75873
475	68791	75728
476	68929	75576
477	69081	75440
478	69236	75307
479	69379	75160
480	69520	75012
481	69666	74869
482	69810	74725
483	69953	74578
484	70096	74432
485	70241	74287
486	70384	74142
487	70522	73990
488	70667	73846
489	70804	73694
490	70945	73546
491	71094	73406
492	71230	73252
493	71367	73101
494	71516	72960
495	71653	72808
496	71797	72664
497	71941	72518
498	72084	72373
499	72230	72230
500	72370	72081
501	72515	71938
502	72661	71794
503	72801	71645
504	72943	71499
505	73085	71352
506	73227	71205
507	73372	71061
508	73518	70918
509	73662	70773
510	73816	70638
511	73959	70492
512	74101	70345
513	74251	70206
514	74395	70061
515	74536	69914
516	74677	69766
517	74822	69622
518	74964	69475
519	75105	69328
520	75253	69187
521	75392	69037
522	75543	68898
523	75680	68748
524	75824	68603
525	75966	68456
526	76104	68306
527	76247	68160
528	76391	68016
529	76533	67868
530	76673	67721
531	76818	67577
532	76956	67426
533	77106	67287
534	77245	67138
535	77407	67009
536	77547	66861
537	77693	66718
538	77839	66575
539	77988	66434
540	78135	66292
541	78278	66146
542	78419	65999
543	78575	65864
544	78716	65717
545	78855	65568
546	78997	65422
547	79134	65271
548	79280	65128
549	79435	64992
550	79592	64858
551	79733	64711
552	79883	64571
553	80023	64423
554	80169	64280
555	80311	64133
556	80453	63987
557	80601	63845
558	80756	63709
559	80914	63575
560	81049	63423
561	81203	63286
562	81342	63138
563	81491	62997
564	81643	62858
565	81785	62711
566	81936	62572
567	82088	62433
568	82257	62307
569	82395	62157
570	82544	62016
571	82681	61866
572	82826	61722
573	82971	61578
574	83120	61437
575	83265	61292
576	83406	61145
577	83555	61004
578	83689	60851
579	83841	60712
580	83975	60560
581	84123	60418
582	84257	60266
583	84396	60118
584	84533	59968
585	84679	59824
586	84819	59676
587	84965	59533
588	85110	59389
589	85251	59242
590	85404	59104
591	85540	58953
592	85700	58819
593	85841	58672
594	85989	58530
595	86135	58387
596	86288	58248
597	86426	58099
598	86580	57961
599	86729	57819
600	86883	57681
601	87028	57536
602	87169	57390
603	87314	57245
604	87450	57096
605	87597	56952
606	87741	56808
607	87886	56663
608	88027	56516
609	88173	56373
610	88319	56229
611	88455	56079
612	88599	55934
613	88740	55787
614	88878	55639
615	89024	55495
616	89177	55356
617	89321	55211
618	89468	55068
619	89611	54923
620	89766	54784
621	89921	54646
622	90070	54505
623	90222	54364
624	90368	54221
625	90515	54077
626	90656	53931
627	90801	53786
628	90944	53641
629	91091	53497
630	91229	53349
631	91370	53203
632	91513	53057
633	91656	52912
634	91811	52773
635	91953	52627
636	92093	52480
637	92245	52339
638	92385	52192
639	92530	52048
640	92677	51905
641	92823	51761
642	92961	51613
643	93108	51470
644	93259	51328
645	93400	51182
646	93539	51034
647	93684	50890
648	93824	50743
649	93970	50599
650	94112	50453
651	94257	50309
652	94395	50161
653	94537	50015
654	94676	49867
655	94817	49721
656	94960	49575
657	95098	49428
658	95248	49286
659	95387	49139
660	95536	48996
661	95673	48848
662	95810	48699
663	95950	48553
664	96098	48410
665	96248	48268
666	96386	48121
667	96524	47973
668	96667	47827
669	96808	47681
670	96950	47535
671	97090	47389
672	97236	47245
673	97382	47101
674	97525	46956
675	97671	46813
676	97816	46668
677	97961	46524
678	98106	46380
679	98249	46235
680	98390	46088
681	98532	45943
682	98666	45794
683	98810	45649
684	98957	45505
685	99092	45357
686	99238	45213
687	99378	45067
688	99533	44927
689	99668	44778
690	99819	44637
691	99970	44495
692	100114	44350
693	100278	44214
694	100433	44075
695	100606	43942
696	100754	43800
697	100897	43654
698	101049	43513
699	101190	43367
700	101336	43223
701	101484	43080
702	101636	42938
703	101778	42793
704	101926	42650
705	102058	42500
706	102210	42358
707	102354	42213
708	102509	42073
709	102644	41925
710	102798	41784
711	102937	41637
712	103076	41490
713	103215	41344
714	103357	41198
715	103501	41053
716	103640	40906
717	103792	40765
718	103927	40616
719	104076	40474
720	104209	40325
721	104359	40182
722	104494	40034
723	104639	39890
724	104788	39747
725	104924	39599
726	105062	39452
727	105202	39306
728	105352	39164
729	105498	39020
730	105648	38877
731	105793	38732
732	105938	38588
733	106081	38443
734	106226	38299
735	106368	38154
736	106518	38011
737	106664	37867
738	106804	37721
739	106944	37575
740	107079	37427
741	107223	37282
742	107361	37135
743	107508	36992
744	107646	36845
745	107792	36701
746	107929	36554
747	108081	36412
748	108227	36268
749	108365	36121
750	108505	35976
751	108649	35831
752	108794	35686
753	108934	35540
754	109089	35399
755	109223	35252
756	109368	35107
757	109508	34961
758	109649	34816
759	109798	34673
760	109943	34528
761	110082	34382
762	110229	34238
763	110366	34092
764	110519	33950
765	110664	33806
766	110816	33663
767	110962	33519
768	111103	33374
769	111250	33230
770	111390	33084
771	111535	32940
772	111676	32794
773	111820	32650
774	111962	32505
775	112106	32360
776	112245	32214
777	112394	32071
778	112539	31927
779	112681	31781
780	112823	31636
781	112963	31490
782	113107	31346
783	113246	31200
784	113392	31056
785	113534	30911
786	113686	30768
787	113825	30623
788	113981	30481
789	114123	30336
790	114277	30194
791	114425	30051
792	114564	29905
793	114709	29761
794	114852	29615
795	114997	29471
796	115140	29326
797	115298	29185
798	115435	29039
799	115587	28896
800	115725	28750
801	115876	28607
802	116013	28461
803	116168	28319
804	116303	28172
805	116447	28028
806	116582	27881
807	116721	27735
808	116861	27590
809	117004	27445
810	117153	27302
811	117296	27157
812	117447	27014
813	117583	26867
814	117730	26724
815	117865	26577
816	118021	26435
817	118157	26289
818	118305	26145
819	118440	25999
820	118582	25854
821	118715	25707
822	118863	25563
823	119005	25418
824	119148	25273
825	119295	25130
826	119446	24987
827	119591	24842
828	119724	24695
829	119870	24551
830	120008	24406
831	120156	24262
832	120292	24116
833	120446	23973
834	120585	23828
835	120719	23681
836	120871	23538
837	121013	23394
838	121168	23251
839	121310	23106
840	121459	22963
841	121605	22819
842	121753	22675
843	121901	22531
844	122045	22387
845	122194	22243
846	122338	22098
847	122506	21958
848	122662	21816
849	122802	21671
850	122942	21525
851	123081	21380
852	123221	21235
853	123360	21089
854	123499	20944
855	123640	20799
856	123781	20654
857	123918	20508
858	124064	20364
859	124204	20219
860	124343	20074
861	124482	19928
862	124636	19785
863	124773	19640
864	124921	19496
865	125064	19351
866	125208	19207
867	125346	19061
868	125485	18916
869	125627	18771
870	125762	18626
871	125906	18481
872	126047	18336
873	126207	18194
874	126343	18049
875	126480	17903
876	126617	17758
877	126764	17614
878	126907	17469
879	127066	17327
880	127219	17184
881	127374	17041
882	127518	16896
883	127675	16753
884	127820	16609
885	127960	16464
886	128102	16319
887	128239	16174
888	128382	16029
889	128521	15884
890	128662	15739
891	128806	15595
892	128960	15452
893	129093	15306
894	129243	15162
895	129380	15017
896	129533	14873
897	129669	14728
898	129828	14585
899	129972	14441
900	130115	14296
901	130266	14153
902	130407	14008
903	130560	13864
904	130695	13719
905	130843	13575
906	130980	13430
907	131125	13285
908	131270	13141
909	131425	12998
910	131574	12854
911	131705	12708
912	131855	12564
913	131989	12419
914	132135	12274
915	132270	12129
916	132413	11985
917	132552	11840
918	132698	11695
919	132838	11551
920	132989	11407
921	133129	11262
922	133272	11118
923	133415	10973
924	133558	10829
925	133711	10685
926	133850	10540
927	133998	10396
928	134130	10251
929	134281	10107
930	134415	9962
931	134552	9817
932	134692	9672
933	134842	9528
934	134985	9384
935	135120	9239
936	135272	9095
937	135408	8950
938	135548	8805
939	135692	8661
940	135849	8517
941	135981	8372
942	136146	8229
943	136283	8084
944	136422	7939
945	136576	7796
946	136710	7651
947	136854	7506
948	136994	7362
949	137138	7217
950	137282	7073
951	137438	6929
952	137589	6785
953	137738	6641
954	137882	6497
955	138033	6352
956	138176	6208
957	138321	6064
958	138465	5919
959	138613	5775
960	138754	5631
961	138905	5486
962	139054	5342
963	139195	5198
964	139337	5053
965	139479	4909
966	139622	4764
967	139766	4620
968	139913	4476
969	140054	4331
970	140212	4187
971	140358	4043
972	140494	3898
973	140637	3754
974	140779	3609
975	140922	3465
976	141064	3320
977	141212	3176
978	141350	3032
979	141508	2887
980	141650	2743
981	141809	2599
982	141960	2455
983	142116	2310
984	142265	2166
985	142413	2022
986	142559	1877
987	142702	1733
988	142848	1588
989	142987	1444
990	143142	1299
991	143274	1155
992	143427	1011
993	143559	866
994	143709	722
995	143850	577
996	143994	433
997	144138	288
998	144277	144
999	144416	0
