iter	Logloss
0	0.6479259259
1	0.6085627552
2	0.5698411711
3	0.5384205797
4	0.5071488887
5	0.4799835055
6	0.4568434726
7	0.431331111
8	0.4115932291
9	0.3920524351
10	0.3736036331
11	0.3579971539
12	0.3417503561
13	0.3273495298
14	0.314314703
15	0.3011484287
16	0.2891431238
17	0.277946493
18	0.2682824487
19	0.2584381521
20	0.2511559638
21	0.2431123712
22	0.2366033005
23	0.2307145925
24	0.2251556046
25	0.2206573069
26	0.215377549
27	0.2103916208
28	0.2070858112
29	0.2027151401
30	0.1990517292
31	0.1959676185
32	0.1922452915
33	0.189914159
34	0.186294514
35	0.1830822093
36	0.180333258
37	0.1769968808
38	0.1746992859
39	0.1717358438
40	0.1689973876
41	0.1668158897
42	0.1649583386
43	0.1632454331
44	0.1608292051
45	0.1590743693
46	0.1574691681
47	0.1558757968
48	0.1544317597
49	0.1529814155
50	0.1506796827
51	0.1486176021
52	0.1476680366
53	0.1465529853
54	0.1455166224
55	0.1438445127
56	0.1426453171
57	0.1416408065
58	0.1409360991
59	0.1400496878
60	0.1386628482
61	0.1377030629
62	0.136820606
63	0.1359696344
64	0.1349097784
65	0.133749418
66	0.1332333639
67	0.1325043542
68	0.1315036813
69	0.13088462
70	0.1302324799
71	0.1291534274
72	0.1283021471
73	0.1274285585
74	0.1269104938
75	0.1261079433
76	0.1252539183
77	0.1246901023
78	0.1240505012
79	0.1235464856
80	0.1228295645
81	0.1220987444
82	0.1214969942
83	0.1210216357
84	0.1204870108
85	0.1201526773
86	0.1195470894
87	0.1188060913
88	0.1181588233
89	0.1177377508
90	0.1171617878
91	0.116324273
92	0.1159342604
93	0.1154305201
94	0.11524774
95	0.1145457856
96	0.1140549182
97	0.1138128132
98	0.1135599544
99	0.112894783
100	0.1124336572
101	0.1122523287
102	0.1121340794
103	0.1116982653
104	0.1112255849
105	0.1107966786
106	0.1104755099
107	0.1100799494
108	0.1099553095
109	0.1095797631
110	0.1093897666
111	0.1092756719
112	0.1088387649
113	0.1087121061
114	0.1083406977
115	0.1081044242
116	0.1077785085
117	0.1077191586
118	0.1073456061
119	0.1072756943
120	0.106965296
121	0.1066775314
122	0.1064065857
123	0.1059722734
124	0.1059130319
125	0.1057950495
126	0.1053578422
127	0.1050710621
128	0.1048782541
129	0.1045639847
130	0.1042475463
131	0.1039496954
132	0.1038331313
133	0.1034024397
134	0.1031022945
135	0.1030066122
136	0.1029613864
137	0.1027199905
138	0.1026735467
139	0.1023826119
140	0.102048195
141	0.1018695195
142	0.1018165351
143	0.1015228555
144	0.1011509799
145	0.1008895615
146	0.1006587192
147	0.1003527925
148	0.1000578616
149	0.09993116109
150	0.09975880935
151	0.09942351644
152	0.09940556296
153	0.09918522405
154	0.0990289904
155	0.0987736789
156	0.09836656373
157	0.09814527375
158	0.09785834344
159	0.09768768527
160	0.09725286401
161	0.09701356215
162	0.09679067871
163	0.09656439146
164	0.0963238215
165	0.09613329104
166	0.09583277882
167	0.09577412968
168	0.09556340989
169	0.09529145472
170	0.0950969281
171	0.09493256032
172	0.09467609754
173	0.09465257948
174	0.09450816743
175	0.09442610034
176	0.09436598288
177	0.09419189587
178	0.09417060531
179	0.09384091035
180	0.09359316568
181	0.09340674816
182	0.09307684463
183	0.09292892031
184	0.09269796114
185	0.09266321381
186	0.09262082458
187	0.09252068721
188	0.09247597871
189	0.09221946587
190	0.09202293701
191	0.09188270465
192	0.09182367174
193	0.09178672194
194	0.09175934122
195	0.09160343293
196	0.09156495642
197	0.09151973067
198	0.0914560926
199	0.09132427802
200	0.09106628852
201	0.090953245
202	0.0905952099
203	0.09055141076
204	0.09051775632
205	0.09031893322
206	0.09006221181
207	0.0899140372
208	0.08989165375
209	0.08973582056
210	0.08952869647
211	0.08923334838
212	0.0890528792
213	0.08868383175
214	0.08865891212
215	0.0884374386
216	0.08821850125
217	0.08784766012
218	0.08780191712
219	0.08777145795
220	0.08755650007
221	0.08751855749
222	0.08747562598
223	0.08745148222
224	0.08708150039
225	0.08691624829
226	0.08685598066
227	0.08668133468
228	0.08646886293
229	0.08644162403
230	0.08615713813
231	0.08601617161
232	0.08598019791
233	0.08592375124
234	0.0858722935
235	0.08583967356
236	0.08581189238
237	0.08575512869
238	0.08554727879
239	0.08526753988
240	0.08523884101
241	0.08518413796
242	0.08481486525
243	0.08466835919
244	0.08430080508
245	0.08393730552
246	0.08354613323
247	0.08352434212
248	0.08334303867
249	0.08308523271
250	0.08289238297
251	0.08285699326
252	0.08270743377
253	0.0826401833
254	0.08261689884
255	0.0823629055
256	0.08211664583
257	0.08192036724
258	0.08187809481
259	0.0818585145
260	0.08167638513
261	0.0816508398
262	0.08148692253
263	0.08135908741
264	0.08130063849
265	0.08125024027
266	0.0812224591
267	0.08117312874
268	0.08114875973
269	0.08108818342
270	0.08105310239
271	0.08094546494
272	0.08076874997
273	0.08069793718
274	0.08044977537
275	0.08041587066
276	0.08037343972
277	0.08030802464
278	0.08028497378
279	0.0801405951
280	0.07996272884
281	0.07993435534
282	0.07987699097
283	0.07983078078
284	0.07967238637
285	0.0796370634
286	0.07961028335
287	0.07955885898
288	0.07943226693
289	0.07938802562
290	0.07933639268
291	0.07929655631
292	0.07924176149
293	0.07921314604
294	0.07914211634
295	0.07887233027
296	0.07884334775
297	0.07880397857
298	0.07875332173
299	0.07873154729
300	0.07835395692
301	0.07831262721
302	0.07809093678
303	0.07770571284
304	0.07766980588
305	0.07761060611
306	0.07758844792
307	0.0775651718
308	0.07749417546
309	0.07739005863
310	0.07735919066
311	0.0773174021
312	0.07729665382
313	0.07726347492
314	0.07718255078
315	0.07693631614
316	0.07687321199
317	0.07681821695
318	0.07675506275
319	0.07673255416
320	0.07659483295
321	0.07632538893
322	0.07612011692
323	0.07609774181
324	0.07607017755
325	0.07597243453
326	0.0758883068
327	0.07573113043
328	0.07552842797
329	0.07550794665
330	0.07548026559
331	0.07545248441
332	0.07542596299
333	0.07511339558
334	0.07494305443
335	0.07491044284
336	0.07487066487
337	0.07484668796
338	0.07462662436
339	0.07459240262
340	0.07433538088
341	0.07414121299
342	0.07412164937
343	0.07410140165
344	0.07408046149
345	0.07391334062
346	0.07368435868
347	0.07360838175
348	0.07355215199
349	0.07335713315
350	0.07325657865
351	0.07318652504
352	0.07314818201
353	0.07298695109
354	0.07296073
355	0.07254535556
356	0.0723914829
357	0.07231784193
358	0.07217760957
359	0.07215784572
360	0.07200851148
361	0.0718689966
362	0.07170254315
363	0.07160332348
364	0.07137342383
365	0.07131816182
366	0.0712165478
367	0.07106441875
368	0.07089106589
369	0.07074197359
370	0.07072175924
371	0.07064248696
372	0.07058952753
373	0.07055983588
374	0.07044587466
375	0.07042726211
376	0.07040943377
377	0.07039257319
378	0.07026387877
379	0.07024505765
380	0.07022850575
381	0.07001241326
382	0.06980006248
383	0.06961679433
384	0.06960043847
385	0.06951007457
386	0.06912021209
387	0.06881497791
388	0.06879855115
389	0.06870997258
390	0.06856321207
391	0.06853797124
392	0.06837284011
393	0.06831838734
394	0.06815183795
395	0.06793178268
396	0.0679145717
397	0.06785611861
398	0.06766950921
399	0.0676519687
400	0.06754589967
401	0.0675297941
402	0.06743709007
403	0.06726025414
404	0.06716196468
405	0.06706961522
406	0.0668366246
407	0.06667034635
408	0.06647495626
409	0.06632431639
410	0.06630775614
411	0.06629266838
412	0.0662245169
413	0.06620041903
414	0.06599699076
415	0.06588242887
416	0.06583288995
417	0.06563501374
418	0.06561966735
419	0.065493409
420	0.06547814187
421	0.06543231128
422	0.06537742052
423	0.06536137751
424	0.06519132002
425	0.06506254218
426	0.06504737099
427	0.06501440066
428	0.06492018243
429	0.06489185064
430	0.06485522621
431	0.06474863994
432	0.06467814834
433	0.0645059718
434	0.06446387456
435	0.06436578116
436	0.06404287298
437	0.06397579354
438	0.0639250491
439	0.06379368502
440	0.06352175488
441	0.0635061457
442	0.06344604909
443	0.06343217102
444	0.06321359241
445	0.06318383402
446	0.06315839714
447	0.06300244297
448	0.0629158458
449	0.0627328613
450	0.06270051667
451	0.06266602797
452	0.06247748307
453	0.06245236321
454	0.06235911274
455	0.06213252932
456	0.06192963497
457	0.06188460945
458	0.06187007648
459	0.06170416947
460	0.06167662189
461	0.06160985948
462	0.06158468539
463	0.0614860372
464	0.06120780832
465	0.06113578167
466	0.06112257101
467	0.06105783169
468	0.06093779283
469	0.06082190862
470	0.06079494086
471	0.0606549713
472	0.06056873286
473	0.06055506753
474	0.06049090386
475	0.06031245779
476	0.06019385386
477	0.06007168344
478	0.05987573856
479	0.05984814093
480	0.05976375874
481	0.05973829683
482	0.05955810714
483	0.05954455026
484	0.05942599222
485	0.0593923795
486	0.05938012408
487	0.05921639452
488	0.0590796661
489	0.05906679749
490	0.05891914013
491	0.05883784057
492	0.05877303451
493	0.05876047876
494	0.05863606415
495	0.05855727574
496	0.05849035898
497	0.05846616099
498	0.05825908279
499	0.058133909
500	0.05812217917
501	0.05809946201
502	0.05805164168
503	0.0578712893
504	0.05771893084
505	0.05747589979
506	0.0574642075
507	0.05735539373
508	0.05731416831
509	0.05722744182
510	0.05702568209
511	0.05690117571
512	0.05684016558
513	0.05658178814
514	0.05653556961
515	0.05648099587
516	0.05646617091
517	0.05640969086
518	0.05637956122
519	0.05630536129
520	0.05618688668
521	0.05604088952
522	0.05596998078
523	0.05592880124
524	0.0557836592
525	0.05570630574
526	0.05567353563
527	0.05565113549
528	0.05557760715
529	0.05548345984
530	0.05536596132
531	0.05528512478
532	0.05527390803
533	0.05490658751
534	0.05489509128
535	0.0547137336
536	0.05458349162
537	0.05449162187
538	0.05432400044
539	0.05430366929
540	0.05427340616
541	0.05416951458
542	0.05415884011
543	0.05398909964
544	0.05395230835
545	0.05394144616
546	0.05385607119
547	0.05373549422
548	0.05372484477
549	0.05362210866
550	0.0535733164
551	0.05348473784
552	0.05347423022
553	0.05335170106
554	0.05320923703
555	0.05309697355
556	0.05306201766
557	0.05304172822
558	0.05300802374
559	0.05293992232
560	0.05291874856
561	0.05275180289
562	0.0526375914
563	0.05253366227
564	0.05245506157
565	0.05236879811
566	0.05235874516
567	0.05209849479
568	0.05197033014
569	0.05192440778
570	0.0518182887
571	0.05167879884
572	0.05165788787
573	0.05150527912
574	0.05148384674
575	0.05142840536
576	0.05124517892
577	0.05119320393
578	0.0511464181
579	0.05106839722
580	0.0509934673
581	0.05098339767
582	0.05076987891
583	0.05073917779
584	0.05061707411
585	0.05059789842
586	0.05058800399
587	0.05042486676
588	0.0504086277
589	0.05025101334
590	0.05022339067
591	0.05021395509
592	0.05006734057
593	0.05005688717
594	0.05003154206
595	0.049995243
596	0.04988275427
597	0.04985210321
598	0.04984265093
599	0.04975999568
600	0.04964155444
601	0.04956251158
602	0.04954985154
603	0.0494577315
604	0.04943737116
605	0.0493463315
606	0.04932950845
607	0.04926589957
608	0.04917380457
609	0.04915537138
610	0.04900804773
611	0.04899079087
612	0.04883590039
613	0.04880575823
614	0.04879658127
615	0.04870257996
616	0.04858434311
617	0.04852610276
618	0.04848384701
619	0.0484002532
620	0.04829161463
621	0.04826458013
622	0.04816664523
623	0.04813632371
624	0.04808558344
625	0.04804823736
626	0.04799541142
627	0.04798325194
628	0.04795519546
629	0.04788163374
630	0.04784373705
631	0.04782907894
632	0.04776664221
633	0.04760194907
634	0.04753557876
635	0.04751495562
636	0.04750622081
637	0.04747930728
638	0.04739720682
639	0.0473487733
640	0.0472392504
641	0.04717849056
642	0.04712055888
643	0.04711181991
644	0.04696759557
645	0.04686264447
646	0.0468447911
647	0.04681702661
648	0.04675446891
649	0.04674585091
650	0.04671102433
651	0.04662297136
652	0.04657129253
653	0.04650071333
654	0.04649231641
655	0.04647319913
656	0.04640038408
657	0.04638924659
658	0.04619855761
659	0.04618958087
660	0.04605628963
661	0.04604794276
662	0.04601696634
663	0.0459622174
664	0.04590020615
665	0.04582137603
666	0.04574609989
667	0.04567497007
668	0.04554028561
669	0.04544752735
670	0.04536513073
671	0.04533231891
672	0.04522108158
673	0.04521308511
674	0.04514532157
675	0.04507001623
676	0.04500380861
677	0.04497521819
678	0.04496457708
679	0.04489043973
680	0.04488011981
681	0.04478225583
682	0.04477196511
683	0.04471412521
684	0.04463346386
685	0.0445987958
686	0.04449330242
687	0.04448453425
688	0.04435314514
689	0.04433898759
690	0.04426192612
691	0.04416253959
692	0.04414225433
693	0.04412857648
694	0.04406900964
695	0.04402908984
696	0.04402158142
697	0.04396571456
698	0.04390952234
699	0.04385934937
700	0.04385162821
701	0.04375470695
702	0.04370493443
703	0.04365504511
704	0.04357484262
705	0.04352571666
706	0.04351849606
707	0.04343855218
708	0.04334059226
709	0.04333327154
710	0.04326872828
711	0.04324127664
712	0.04315938892
713	0.04315222672
714	0.04313838619
715	0.04302839193
716	0.04302107955
717	0.0429857107
718	0.04297275032
719	0.04286128358
720	0.0428340989
721	0.04279434596
722	0.04278736313
723	0.04270457856
724	0.04269750813
725	0.0426143398
726	0.0426074112
727	0.04259488881
728	0.04257246365
729	0.04254246332
730	0.04251142849
731	0.04246985684
732	0.04244679346
733	0.04233353721
734	0.04228401497
735	0.04221484986
736	0.04220811313
737	0.04216274556
738	0.04202795263
739	0.04201555122
740	0.04194005817
741	0.04191828791
742	0.04191151364
743	0.04186022275
744	0.04184921039
745	0.04182632638
746	0.04181972314
747	0.0417086777
748	0.04170202023
749	0.04168930596
750	0.04168279866
751	0.04162119203
752	0.04154049731
753	0.04150283839
754	0.04146654766
755	0.04145287398
756	0.04140553336
757	0.04139886755
758	0.04127574189
759	0.04119276544
760	0.04111000174
761	0.04110363209
762	0.04102029274
763	0.04101395646
764	0.04100145076
765	0.04092383867
766	0.04085207898
767	0.04083094276
768	0.04076242004
769	0.04071673961
770	0.04067123855
771	0.0405850752
772	0.04054962709
773	0.04049477804
774	0.04040952821
775	0.04031265284
776	0.04028423762
777	0.04024961961
778	0.04016371071
779	0.04007654623
780	0.04006636814
781	0.039972079
782	0.03986561787
783	0.03981997499
784	0.03975935697
785	0.03970980136
786	0.03969143492
787	0.03965753437
788	0.03958501967
789	0.03957880853
790	0.03950500071
791	0.03941437819
792	0.03939788468
793	0.03938762734
794	0.03936589879
795	0.03933589846
796	0.03928097015
797	0.0391749929
798	0.03909487383
799	0.03908861264
800	0.039025959
801	0.03896730985
802	0.03895017396
803	0.03887951967
804	0.03887349625
805	0.03883590406
806	0.03881984437
807	0.03879541696
808	0.03876547086
809	0.0387576621
810	0.03873978787
811	0.03865523466
812	0.03855526415
813	0.03853831596
814	0.03849193058
815	0.03845815101
816	0.03843382788
817	0.03830642658
818	0.03829076735
819	0.03822982396
820	0.03822390065
821	0.03820160062
822	0.03816986501
823	0.03808552037
824	0.03807449132
825	0.0380254613
826	0.03795013511
827	0.03794242646
828	0.03788693085
829	0.0378578941
830	0.03774296097
831	0.03773672063
832	0.03770752537
833	0.03764872606
834	0.03758656047
835	0.0375686487
836	0.03756021424
837	0.03749134529
838	0.03748559717
839	0.03747543994
840	0.03742119157
841	0.03733044807
842	0.03731148513
843	0.03730591221
844	0.03721348349
845	0.03713799044
846	0.03713230073
847	0.03708461805
848	0.03707069827
849	0.03699548053
850	0.03696133388
851	0.03688140669
852	0.03686540957
853	0.0368149029
854	0.03675334215
855	0.03667483739
856	0.03662967838
857	0.03662349645
858	0.03659040932
859	0.0365215362
860	0.03647856715
861	0.03646102663
862	0.03640187275
863	0.03639651257
864	0.03621795387
865	0.0362121265
866	0.036206783
867	0.03610347124
868	0.03608704448
869	0.03606748086
870	0.03606222913
871	0.03601259844
872	0.03593841936
873	0.03586784017
874	0.03586259678
875	0.03580464425
876	0.03579935081
877	0.03579427428
878	0.03578028358
879	0.03577523625
880	0.03574489387
881	0.03566292689
882	0.03565649467
883	0.03556597643
884	0.03553883765
885	0.03548967415
886	0.03544824015
887	0.03543683569
888	0.03541161989
889	0.03539354544
890	0.03534705995
891	0.03531045637
892	0.03527618458
893	0.0351839978
894	0.03513247332
895	0.0350910435
896	0.03508606291
897	0.0350238264
898	0.03497718657
899	0.0349708628
900	0.03490531634
901	0.03487187673
902	0.03481259354
903	0.03475904595
904	0.03474359528
905	0.03473358822
906	0.034707778
907	0.03469399379
908	0.03468625385
909	0.03465981377
910	0.03460094145
911	0.03459600883
912	0.03452681244
913	0.03450666274
914	0.03443045222
915	0.03442544661
916	0.03437619342
917	0.03437140472
918	0.03421051376
919	0.03419918438
920	0.0340907794
921	0.03407302823
922	0.03406679415
923	0.03402206479
924	0.03395167539
925	0.03386495308
926	0.03385750305
927	0.03373854248
928	0.03373328449
929	0.03364595942
930	0.0335975989
931	0.03357447712
932	0.03350768968
933	0.03348325184
934	0.03347480069
935	0.03346647885
936	0.03337268193
937	0.03336748443
938	0.03336272284
939	0.03330853912
940	0.03322064883
941	0.03320422624
942	0.03319957518
943	0.03318988931
944	0.03318525286
945	0.03314181036
946	0.03312924835
947	0.03306392296
948	0.0330591718
949	0.03305344454
950	0.0330255424
951	0.03295782891
952	0.03295295678
953	0.0329435921
954	0.03291115988
955	0.0329067445
956	0.03286334163
957	0.03285886995
958	0.03281074303
959	0.03274320057
960	0.03269324868
961	0.0326768386
962	0.03267234189
963	0.03266286876
964	0.03259174103
965	0.03258718383
966	0.03253806622
967	0.03249369351
968	0.03244467809
969	0.03238375139
970	0.03232775105
971	0.03231339953
972	0.03230909261
973	0.03228597917
974	0.03227437866
975	0.03222069759
976	0.03221605905
977	0.03216905005
978	0.03216489747
979	0.03211906688
980	0.03211469947
981	0.03207125072
982	0.03198860798
983	0.03195084895
984	0.03194633972
985	0.03193758198
986	0.03189598113
987	0.03184143659
988	0.03179223137
989	0.03171197882
990	0.03170759682
991	0.03170351724
992	0.03167418224
993	0.03164313699
994	0.03163909912
995	0.03160470845
996	0.03154679972
997	0.03153401036
998	0.03151266558
999	0.03149159819
